SiteCode,RefCode,Locality,State,Country,Latitude,Longitude,Precision,YearStart,YearEnd,Duration,SamplingEffort,StudyType,EcologicalScale,SamplingMethod,SamplingSeason,Vegetation,VegType,Ecoregion,Domain,Altitude,1kmAlt,AnnRain,MeaAnnTemp,PET,GAI
BPA001,BPR001,Bosque Experimental Elías Meneses - Ichilo,Santa Cruz,Bolivia,-16.633333,-64.5,Precise,2003,2003,1,NA,Bat diet,Assemblage,Feces collection,Wet,High thin forest,Rainforest,Southwest Amazon moist forests,Amazonia,185,210,3142,25.3,1729,1.8165
BPA002,BPR002,Embrapa Cerrados - Planaltina,Distrito Federal,Brazil,-15.6283333,-47.37083333,Precise,2004,2004,3,NA,Bat diet,Population,Roosting inspection ,Dry,NA,Savanna woodland,Cerrado,Cerrado,NA,885,1430,21.5,1547,0.9241
BPA003,BPR003,Reserva Particular do Patrimônio Natural Feliciano Miguel Abdala,Minas Gerais,Brazil,-19.728151,-41.813929,Precise,1989,1990,11,166,Bat diet,Assemblage,Feces collection,Dry and Wet,Lowland tropical moist forest,Semideciduous forest,Bahia interior forests,Atlantic Forest,628,442,1211,21.6,1306,0.9267
BPA004,BPR004,Espiritu Wildlife Refuge,Beni,Bolivia,-14.137083,-66.401694,Not precise,NA,NA,3,21,Bat diet,Assemblage,Feces collection,Dry,Seasonally flooded savanna,Savanna woodland,Beni savanna,Amazonia,NA,160,1750,26.1,1536,1.1392
BPA005,BPR005,Saguaro National Park,Arizona,United States,32.288465,-111.153482,Not precise,1960,1960,1,NA,Plant visitation,Population,Experimental,Dry,NA,Semi-desert and desert,Sonoran desert,Nearctic Mexico,NA,937,368,19.8,2588,0.1421
BPA006,BPR006,Santa Catalina Chinango,Oaxaca,Mexico,18.106086,-97.75541,Not precise,2003,2003,3,6809,Plant visitation,Population,Direct observation,NA,Thorny scrub and tropical dry forest,Semi-arid thorny woodland,Balsas dry forests,Mesoamerica,1600,1830,547,20.2,1834,0.2982
BPA007,BPR007,Zapotitlán Salinas,Puebla,Mexico,18.332712,-97.457869,Not precise,1996,1996,7,NA,Plant visitation,Population,Direct observation,Wet,Dry xerophytic scrub,Semi-arid thorny woodland,Tehuacán Valley matorral,Mesoamerica,NA,1457,440,21.8,1848,0.2379
BPA008,BPR008,Explorama Lodge at Quebrada Yamamono,Loreto,Peru,-3.443572,-72.849776,Precise,1991,1991,1,40,Bat diet,Assemblage,Feces collection,Wet,NA,Floodplain forest,Solimões-Japurá moist forest,Amazonia,NA,97,3099,26.2,1167,2.6541
BPA009,BPR008,Explornapo Camp at Quebrada Sucusari,Loreto,Peru,-3.257719,-72.917517,Precise,1991,1991,1,24,Bat diet,Assemblage,Feces collection,Dry,NA,Floodplain forest,Solimões-Japurá moist forest,Amazonia,NA,102,3135,26.4,1166,2.6873
BPA010,BPR009,Centro de Investigaciones Jenaro Herrera,Loreto,Peru,-4.898564,-73.650419,Precise,1988,1991,24,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,Broadleaf tropical rainforest,Rainforest,Southwest Amazon moist forests,Amazonia,130,123,2578,26.4,1180,2.1846
BPA011,BPR010,Fundo Pecuario Masaguaral,Guarico,Venezuela,8.565766,-67.571095,Precise,1977,1978,8,NA,Bat diet,Population,Experimental,Dry,NA,Savanna woodland,Llanos,Los Llanos,NA,69,1327,27.6,1866,0.711
BPA012,BPR011,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1998,2000,5,6,Plant visitation,Population,Feces collection,Dry and Wet,Tropical rain forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA013,BPR012,Fazenda Água Limpa,Distrito Federal,Brazil,-15.94835,-47.934083,Precise,1994,1995,4,82,Bat diet,Assemblage,Feces collection,Wet,evergreen mesophytic forest,Seasonal riverine forest,Cerrado,Cerrado,>1000,1071,1527,20.6,1518,1.0058
BPA014,BPR013,Barro Colorado Island,Panama Oeste,Panama,9.1592,-79.8442,Not precise,1973,1973,12,285,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,123,2213,26.1,1682,1.3156
BPA015,BPR014,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1982,1982,3,NA,Bat diet,Assemblage,Experimental,Dry,Premontane moist for,Deciduous forest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA016,BPR015,Natural Reserve Vale do Rio Doce - Linhares,Espirito Santo,Brazil,-19.151048,-40.070882,Not precise,1989,1989,2,NA,Plant visitation,Population,Direct observation,Dry,Mata de Tabuleiro,Rainforest,Bahia coastal forests,Atlantic Forest,NA,66,1197,23.6,1352,0.8852
BPA017,BPR016,Parque Estadual da Serra do Mar,Sao Paulo,Brazil,-23.160181,-44.834228,Not precise,NA,NA,NA,NA,Plant visitation,Population,Direct observation,NA,Broadleaf forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,1100,1496,1791,14.2,1097,1.6313
BPA018,BPR016,Monte Verde - Camanducaia,Minas Gerais,Brazil,-22.855548,-46.04076,Not precise,NA,NA,NA,NA,Plant visitation,Population,Direct observation,NA,Mixed broadleaf and araucaria forest,Mixed forest,Serra do Mar coastal forests,Atlantic Forest,1600,1584,1741,14,1124,1.548
BPA019,BPR016,Parque Estadual de Campos do Jordao,Sao Paulo,Brazil,-22.688723,-45.481382,Not precise,NA,NA,NA,NA,Plant visitation,Population,Direct observation,NA,Mixed broadleaf and araucaria forest,Mixed forest,Serra do Mar coastal forests,Atlantic Forest,1500,1549,1757,14.2,1134,1.5489
BPA020,BPR017,Setor de Ciencias Biologicas UFPA,Parana,Brazil,-25.446162,-49.233427,Precise,1997,1998,6,7,Plant visitation,Population,Direct observation,Wet,Secondary mixed ombrophyllous forest,Mixed forest,Araucaria moist forests,Atlantic Forest,NA,920,1569,17.9,1210,1.2962
BPA021,BPR018,Parque Zoobotânico do Museu Goeldi ,Para,Brazil,-1.453311,-48.476612,Precise,NA,NA,NA,NA,Bat diet,Assemblage,Direct observation,NA,NA,Rainforest,Tocantins/Pindare moist forests,Amazonia,NA,15,2976,26.6,1458,2.0406
BPA022,BPR019,Tehuacan Valley,Puebla,Mexico,18.270636,-97.398416,Not precise,1995,1995,5,NA,Plant visitation,Population,Pollen collection,Wet,Thorn scrub-forest and tropical deciduous forest,Mixed forest,Tehuacán Valley matorral,Mesoamerica,NA,1892,563,18.7,1703,0.3305
BPA023,BPR019,La Mixteca Baja,Oaxaca,Mexico,18.108588,-97.745645,Not precise,1996,1996,5,NA,Plant visitation,Population,Pollen collection,Wet,Tropical deciduous forest,Deciduous forest,Balsas dry forests,Mesoamerica,NA,1825,546,20.2,1831,0.2981
BPA024,BPR020,Piste de Saint Elie,NA,French Guiana,4.822826,-53.276157,Not precise,1981,1981,NA,250,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Guianan moist forests,Amazonia,45,187,2835,25.1,1576,1.798
BPA025,BPR021,ECEREX station - near Sinnamary,NA,French Guiana,5.405774,-52.969059,Not precise,1985,1986,2,182,Bat diet,Population,Feces collection,Dry and Wet,NA,Rainforest,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,45,14,2634,26.1,1666,1.5801
BPA026,BPR022,Nouragues Biological Station,NA,French Guiana,4.088403,-52.679596,Not precise,1987,1996,NA,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Guianan moist forests,Amazonia,NA,127,3119,25.4,1577,1.9772
BPA027,BPR023,Biological Reserve Los Tuxtlas,Veracruz,Mexico,18.585205,-95.073924,Precise,1983,1983,2,NA,Plant visitation,Population,Direct observation,NA,Tall evergreen rain forest,Rainforest,Sierra de los Tuxtlas,Mesoamerica,NA,129,2436,25.3,1719,1.4164
BPA028,BPR024,Cafuringa Environmental Protection Area,Distrito Federal,Brazil,-15.5597,-48.0517,Not precise,1997,1998,12,42,Bat diet,Population,Feces collection,Dry and Wet,NA,Seasonal riverine forest,Cerrado,Cerrado,NA,996,1495,21.3,1552,0.9631
BPA029,BPR025,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1991,1994,NA,NA,Plant visitation,Population,Direct observation,Dry,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,50,100,3779,25.8,1685,2.2416
BPA030,BPR026,Piste de Saint Elie,NA,French Guiana,4.822826,-53.276157,Not precise,1981,1982,NA,175,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Guianan moist forests,Amazonia,45,187,2835,25.1,1576,1.798
BPA031,BPR027,Nouragues biological station,NA,French Guiana,4.088403,-52.679596,Not precise,2000,2002,14,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,Tropical primary rainforest,Rainforest,Guianan moist forests,Amazonia,NA,127,3119,25.4,1577,1.9772
BPA032,BPR028,Monteverde Cloud Forest Reserve,Puntarenas,Costa Rica,10.303137,-84.795742,Precise,1981,1982,18,832,Bat diet,Assemblage,Feces collection,Dry and Wet,Broad-leaved evergreen fores,Rainforest,Talamancan montane forests,Mesoamerica,NA,1559,2617,18.1,1519,1.7227
BPA033,BPR029,Pedregal de San Angel Reserve,Distrito Federal,Mexico,19.314522,-99.176448,Precise,1982,1984,37,NA,Plant visitation,Population,Direct observation and Pollen Collection,Dry and Wet,Open xerophilous scrub,Semi-arid thorny woodland,Central Mexican matorral,Mesoamerica,2250,2308,833,15.8,1722,0.4834
BPA034,BPR030,Near to Tlayacapan,Morelos,Mexico,18.961016,-98.982413,Not precise,1983,1984,4,4634,Plant visitation,Population,Direct observation and Pollen Collection,Dry,Selva baja caducifolia,Semi-arid thorny woodland,Balsas dry forests,Mesoamerica,1950,1665,990,20.2,1826,0.5421
BPA035,BPR031,Monterverde community,Puntarenas,Costa Rica,10.275372,-84.824771,Not precise,1992,1993,4,NA,Bat diet,Assemblage,Experimental,Wet,lower montane moist and wet forest,Rainforest,Costa Rican seasonal moist forests,Mesoamerica,1350,818,2308,22.1,1657,1.3927
BPA036,BPR032,Los Tuxtlas Biological Station,Veracruz,Mexico,18.585227,-95.073009,Precise,1980,1982,NA,NA,Plant visitation,Population,Direct observation,Dry and Wet,Evergreen rain forest,Rainforest,Sierra de los Tuxtlas,Mesoamerica,NA,129,2436,25.3,1719,1.4164
BPA037,BPR033,Los Tuxtlas Biological Station,Veracruz,Mexico,18.585227,-95.073009,Precise,1980,1981,12,NA,Bat diet,Population,Direct observation,Dry and Wet,Evergreen rain forest,Rainforest,Sierra de los Tuxtlas,Mesoamerica,NA,129,2436,25.3,1719,1.4164
BPA038,BPR034,Wildlife Sanctuary Otún Quimbaya,Risaralda,Colombia,4.728398,-75.574787,Precise,2004,2005,7,NA,Bat diet,Population,Feces collection,Dry and Wet,Bosque húmedo montano,Cloud forest,Cauca Valley montane forests,Northern Andes,NA,1914,2151,17.1,1332,1.6146
BPA039,BPR035,Mata de Santa Genebra reserve,Sao Paulo,Brazil,-22.820923,-47.110617,Precise,1991,1992,24,32,Plant visitation,Assemblage,Direct observation,Dry and Wet,Semideciduous forest,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,615,1271,20.5,1384,0.9183
BPA040,BPR036,Brotas,Sao Paulo,Brazil,-22.280756,-48.126142,Not precise,1989,1989,2,NA,Plant visitation,Population,Direct observation,Dry,Savanna and galery forest,Savanna woodland,Cerrado,Cerrado,NA,652,1343,20.3,1412,0.9507
BPA041,BPR037,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1975,1980,10,NA,Plant visitation,Population,Direct observation and Feces collection,Wet,Premontane Moist Tropical Forest,Rainforest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA042,BPR038,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1974,1983,NA,NA,Plant visitation,Assemblage,Direct observation and Feces collection,Dry and Wet,Premontane Moist Tropical Forest,Rainforest,Central American dry forests,Mesoamerica,300,277,1636,26,2005,0.8157
BPA043,BPR039,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1977,1978,6,NA,Bat diet,Population,Feces collection,Dry,Premontane Moist Tropical Forest,Rainforest,Central American dry forests,Mesoamerica,300,277,1636,26,2005,0.8157
BPA044,BPR040,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1980,1981,6,NA,Plant visitation,Population,Direct observation,Dry and Wet,tropical dry forest,Deciduous forest,Central American dry forests,Mesoamerica,300,277,1636,26,2005,0.8157
BPA045,BPR041,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1974,1975,4,NA,Bat diet,Assemblage,Experimental,Wet,Premontane Moist Tropical Forest,Rainforest,Central American dry forests,Mesoamerica,300,277,1636,26,2005,0.8157
BPA046,BPR042,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1974,1984,NA,NA,Plant visitation,Population,Direct observation,Dry and Wet,Premontane Moist Tropical Forest,Rainforest,Central American dry forests,Mesoamerica,300,277,1636,26,2005,0.8157
BPA047,BPR043,Bahia de Kino,Sonora,Mexico,28.83834,-111.961868,Not precise,1989,1999,24,NA,Plant visitation,Assemblage,Direct observation,Dry,NA,Semi-desert and desert,Sonoran desert,Nearctic Mexico,NA,0,137,21.2,2025,0.0676
BPA048,BPR043,Organ Pipe Cactus National Monument,Arizona,United States,32.087291,-112.906624,Not precise,1997,1997,3,NA,Plant visitation,Assemblage,Direct observation,Dry,NA,Semi-desert and desert,Sonoran desert,Nearctic Mexico,NA,522,199,21.6,2465,0.0807
BPA049,BPR044,Mata de Santa Genebra reserve,Sao Paulo,Brazil,-22.820923,-47.110617,Precise,1990,1991,9,NA,Bat diet,Population,Roosting inspection ,Dry and Wet,Tropical semideciduous forest,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,615,1271,20.5,1384,0.9183
BPA050,BPR045,Piracicaba river basin,Sao Paulo,Brazil,-19.666667,-42.916667,Precise,1995,1996,6,64,Bat diet,Assemblage,Feces collection,Dry and Wet,Eucalyptus plantation and secondary forest,Semideciduous forest,Bahia interior forests,Atlantic Forest,NA,468,1301,21.7,1320,0.985
BPA051,BPR046,Fazenda Água Limpa,Distrito Federal,Brazil,-15.9642,-47.9458,Precise,1996,1996,8,NA,Bat diet,Population,Direct observation,Wet,Cerrado,Seasonal riverine forest,Cerrado,Cerrado,NA,1099,1530,20.5,1516,1.0092
BPA052,BPR047,Sierra de San Javier,Tucuman,Argentina,-26.783333,-65.35,Not precise,1994,1996,16,596,Bat diet,Assemblage,Feces collection,Dry and Wet,Cloud forest,Cloud forest,Southern Andean Yungas,Southern Andes,NA,989,938,18.5,1720,0.5452
BPA053,BPR048,Barro Colorado Island,Panama Oeste,Panama,9.15164,-79.8509,Not precise,1975,1985,NA,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,159,2394,26,1673,1.4301
BPA054,BPR049,Brasilia Botanic Garden,Distrito Federal,Brazil,-15.861197,-47.8282,Precise,1989,1989,NA,NA,Plant visitation,Population,Direct observation,NA,NA,Savanna woodland,Cerrado,Cerrado,1150,1137,1510,20.4,1523,0.9909
BPA055,BPR049,Gloria experimental farm of the Federal University of Uberlandia,Minas Gerais,Brazil,-18.933672,-48.203404,Precise,1996,1996,NA,NA,Plant visitation,Population,Direct observation,NA,NA,Savanna woodland,Cerrado,Cerrado,800,945,1591,21.6,1588,1.0017
BPA056,BPR050,Zapotitlán Valley,Puebla,Mexico,18.333333,-97.466667,Not precise,NA,NA,NA,NA,Plant visitation,Assemblage,Experimental,NA,NA,Semi-arid thorny woodland,Tehuacán Valley matorral,Mesoamerica,NA,1480,437,21.7,1846,0.2366
BPA057,BPR051,Helia Bravo Hollis Botanical Garden,Puebla,Mexico,18.332541,-97.457725,Precise,1993,1997,NA,NA,Plant visitation,Population,Direct observation,Wet,NA,Semi-arid thorny woodland,Tehuacán Valley matorral,Mesoamerica,NA,1457,440,21.8,1848,0.2379
BPA058,BPR052,Centro de Investigaciones Jenaro Herrera,Loreto,Peru,-4.898564,-73.650419,Precise,1989,1991,34,856,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Southwest Amazon moist forests,Amazonia,130,123,2578,26.4,1180,2.1846
BPA059,BPR053,Trinidad Island,NA,Trinidad and Tobago,10.431118,-61.253205,Not precise,NA,NA,NA,NA,Bat diet,Assemblage,Feces collection and Roosting inspection,NA,NA,Rainforest,Trinidad and Tobago moist forests,Caribbean,NA,103,2084,26,1767,1.1792
BPA060,BPR054,Aguas Emendadas Biological Reserve,Distrito Federal,Brazil,-15.558154,-47.60951,Precise,1983,1985,NA,NA,Plant visitation,Population,Direct observation,Dry and Wet,seasonal woodland-savanna,Savanna woodland,Cerrado,Cerrado,>1000,1049,1476,20.8,1539,0.9586
BPA061,BPR054,Fazenda Água Limpa,Distrito Federal,Brazil,-15.94835,-47.934083,Precise,1983,1985,NA,NA,Plant visitation,Population,Direct observation,Dry and Wet,seasonal woodland-savanna,Savanna woodland,Cerrado,Cerrado,>1000,1071,1527,20.6,1518,1.0058
BPA062,BPR055,Instituto Nacional de Pesquisas da Amazonia,Amazonas,Brazil,-3.097524,-59.986194,Precise,1993,1993,2,NA,Plant visitation,Population,Direct observation and Pollen Collection,Dry and Wet,NA,Rainforest,Japurá-Solimões-Negro moist forests,Amazonia,NA,67,2441,27,1316,1.8543
BPA063,BPR055,Maracá Ecological Reserve,Roraima,Brazil,3.396128,-61.706532,Not precise,1988,1988,1,NA,Plant visitation,Population,Direct observation and Pollen Collection,Wet,NA,Rainforest,Guianan piedmont and lowland moist forests,Amazonia,NA,215,2099,26.3,1566,1.3402
BPA064,BPR056,Barro Colorado Island,Panama Oeste,Panama,9.1592,-79.8442,Precise,1979,1980,2,NA,Bat diet,Population,Feces collection,Dry,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,123,2213,26.1,1682,1.3156
