SiteCode,RefCode,Locality,State,Country,Latitude,Longitude,Precision,YearStart,YearEnd,Duration,SamplingEffort,StudyType,EcologicalScale,SamplingMethod,SamplingSeason,Vegetation,VegType,Ecoregion,Domain,Altitude,1kmAlt,AnnRain,MeaAnnTemp,PET,GAI
BPA065,BPR057,Barro Colorado Island,Panama Oeste,Panama,9.1592,-79.8442,Precise,1976,1979,NA,NA,Bat diet,Population,Feces collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,123,2213,26.1,1682,1.3156
BPA066,BPR058,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1975,1976,8,NA,Bat diet,Population,Feces collection,Wet,Premontane Moist Forest,Rainforest,Central American dry forests,Mesoamerica,320,277,1636,26,2005,0.8157
BPA067,BPR059,1.5 km west of Cañas,Guanacaste,Costa Rica,10.42726,-85.10837,Not precise,1971,1972,4,NA,Plant visitation,Population,Pollen collection,Dry and Wet,NA,Deciduous forest,Central American dry forests,Mesoamerica,NA,67,2007,27.2,1954,1.0265
BPA068,BPR060,Finca La Pacifica - 4 km NW of Cañas,Guanacaste,Costa Rica,10.452035,-85.127443,Precise,1970,1972,NA,1331,Bat diet,Assemblage,Feces collection and Pollen collection,Dry and Wet,Dry forest,Deciduous forest,Central American dry forests,Mesoamerica,NA,46,1924,27.3,1963,0.9801
BPA069,BPR061,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1978,1978,2,NA,Plant visitation,Population,Direct observation,Dry,tropical moist forest,Rainforest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA070,BPR062,Henri Pittier National Park ,Aragua,Venezuela,10.349907,-67.684392,Precise,1982,1982,1,NA,Bat diet,Population,Experimental,Dry,NA,Cloud forest,Cordillera La Costa montane forests,Caribbean,NA,1119,856,20.4,1542,0.5551
BPA071,BPR063,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1996,1996,2,NA,Plant visitation,Population,Pollen collection,Wet,Seasonal forest,Deciduous forest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA072,BPR064,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1980,1981,8,NA,Bat diet,Population,Experimental,Wet,NA,Deciduous forest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA073,BPR065,Chamela Biological Station - UNAM,Jalisco,Mexico,19.499092,-105.044856,Precise,1989,1989,NA,NA,Bat diet,Assemblage,Experimental,NA,NA,Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,86,942,25.2,1798,0.5236
BPA074,BPR066,Sierra de Manantlan Biosphere Reserve,Jalisco,Mexico,19.485675,-103.950087,Precise,1993,1994,7,68,Bat diet,Assemblage,Experimental,Dry and Wet,Subtropical montane cloud forest,Mixed forest,Trans-Mexican Volcanic Belt pine-oak forests,Mesoamerica,1900,2462,1116,14.2,1577,0.7072
BPA075,BPR067,Los Tuxtlas Biological Station,Veracruz,Mexico,18.585227,-95.073009,Precise,1998,1999,6,63,Bat diet,Assemblage,Experimental,Dry and Wet,NA,Rainforest,Sierra de los Tuxtlas,Mesoamerica,NA,129,2436,25.3,1719,1.4164
BPA076,BPR068,Chamela Biological Station - UNAM,Jalisco,Mexico,19.499092,-105.044856,Precise,1988,1988,6,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,tropical deciduous forest,Deciduous forest,Jalisco dry forests,Mesoamerica,NA,86,942,25.2,1798,0.5236
BPA077,BPR069,San Sebastian de los Reyes,Aragua,Venezuela,9.946165,-67.182587,Precise,1982,1983,NA,NA,Plant visitation,Assemblage,Pollen collection,Dry and Wet,Dry premontane forest,Deciduous forest,La Costa xeric shrublands,Caribbean,200,368,1107,25.1,1765,0.6271
BPA078,BPR069,Los Caracas river,Vargas,Venezuela,10.616667,-66.566667,Precise,1982,1983,NA,NA,Plant visitation,Assemblage,Pollen collection,Dry,Dry premontane forest,Deciduous forest,Cordillera La Costa montane forests,Caribbean,80,76,973,26.9,1992,0.4884
BPA079,BPR070,Estação Experimental de Silvicultura Tropical INPA,Amazonas,Brazil,-2.629916,-60.03549,Precise,1979,1979,12,NA,Plant visitation,Assemblage,Direct observation and Pollen Collection,Dry and Wet,Lowland terra firme forest,Rainforest,Uatuma-Trombetas moist forests,Amazonia,NA,70,2365,26.5,1335,1.7707
BPA080,BPR070,Base Aérea Serra do Cachimbo,Para,Brazil,-9.323868,-54.947227,Precise,1979,1979,12,NA,Plant visitation,Assemblage,Direct observation and Pollen Collection,Dry and Wet,NA,Savanna woodland,Mato Grosso seasonal forests,Cerrado,NA,490,2262,25.7,1468,1.5404
BPA081,BPR070,Road BR316 Teresina to Picos at km 132,Piaui,Brazil,-6.033333,-42.283333,Precise,1979,1979,12,NA,Plant visitation,Assemblage,Direct observation and Pollen Collection,Dry and Wet,NA,Semi-arid thorny woodland,Caatinga,Caatinga,NA,224,1337,26.1,1729,0.7729
BPA082,BPR071,Taboga,Guanacaste,Costa Rica,10.348475,-85.17578,Not precise,1971,1971,3,104,Bat diet,Assemblage,Feces collection,Dry,NA,Deciduous forest,Central American dry forests,Mesoamerica,NA,9,1856,27.3,1986,0.9343
BPA083,BPR071,San Vito,Puntarenas,Costa Rica,8.81776,-82.9669,Not precise,1971,1971,3,117,Bat diet,Assemblage,Feces collection,Dry,NA,Rainforest,Talamancan montane forests,Mesoamerica,NA,986,3156,21.8,1516,2.0808
BPA084,BPR071,Osa,Puntarenas,Costa Rica,8.57133,-83.464041,Not precise,1971,1971,3,48,Bat diet,Assemblage,Feces collection,Dry,NA,Rainforest,Isthmian-Pacific moist forests,Mesoamerica,NA,225,2984,25.3,1605,1.8591
BPA085,BPR072,Autlán de Navarro,Jalisco,Mexico,19.756256,-104.371066,Not precise,2002,2003,6,NA,Plant visitation,Assemblage,Direct observation and Pollen Collection,Dry,thorn-scrub and tropical deciduous fores,Deciduous forest,Jalisco dry forests,Mesoamerica,900,961,1061,22.6,1776,0.5974
BPA086,BPR073,Cuerecí Biological Statio,Cartago,Costa Rica,9.555249,-83.667356,Not precise,1994,1994,1,NA,Plant visitation,Population,Direct observation,Dry,NA,Cloud forest,Talamancan montane forests,Mesoamerica,2700,2686,2346,10.3,1043,2.2485
BPA087,BPR074,Calilegua National Park,Jujuy,Argentina,-23.67309,-64.867555,Not precise,1992,1992,5,NA,Bat diet,Population,Feces collection,Dry,NA,Rainforest,Southern Andean Yungas,Southern Andes,700,1484,844,17.2,1553,0.5433
BPA088,BPR075,Taboga,Guanacaste,Costa Rica,10.350734,-85.17517,Not precise,1975,1975,2,NA,Plant visitation,Population,Feces collection,Wet,NA,Deciduous forest,Central American dry forests,Mesoamerica,NA,11,1868,27.3,1986,0.9404
BPA089,BPR076,Parque Zoobotânico do Museu Goeldi ,Para,Brazil,-1.453311,-48.476612,Precise,1962,1962,4,NA,Bat diet,Population,Direct observation,Dry,NA,Rainforest,Tocantins/Pindare moist forests,Amazonia,NA,15,2976,26.6,1458,2.0406
BPA090,BPR077,Agua Blanca - Guatopo National Park,Miranda,Venezuela,10.239258,-66.341472,Precise,1993,1993,1,NA,Plant visitation,Population,Experimental,Wet,NA,Rainforest,Cordillera La Costa montane forests,Caribbean,NA,75,1135,26.9,1903,0.5963
BPA091,BPR078,Manson River Nature Reserve,Saint Ann,Jamaica,18.199235,-77.2602,Precise,1998,1999,3,NA,Plant visitation,Population,Direct observation,Wet,NA,Limestone Rainforest,Jamaican moist forests,Caribbean,NA,698,1924,21.1,1553,1.2383
BPA092,BPR079,Barro Colorado Island,Panama Oeste,Panama,9.1592,-79.8442,Precise,1997,1997,3,NA,Plant visitation,Assemblage,Experimental,Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,123,2213,26.1,1682,1.3156
BPA093,BPR080,Cayenne,NA,French Guiana,4.909438,-52.330312,Not precise,1986,1998,3,NA,Plant visitation,Population,Direct observation,Wet,NA,Coastal sandy mosaic,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,10,2870,26,1625,1.7656
BPA094,BPR081,Cartagena de Indias,Bolivar,Colombia,10.45,-75.516667,Not precise,1979,1979,11,262,Bat diet,Population,Direct observation,Dry and Wet,NA,Limestone deciduous woodland,Amazon-Orinoco-Southern Caribbean mangroves,Caribbean,2,5,1072,27.7,1882,0.5693
BPA095,BPR082,Parque Municipal Arthur Thomas,Parana,Brazil,-23.346348,-51.143191,Precise,2001,2002,12,NA,Bat diet,Population,Roosting inspection ,Dry and Wet,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,545,1569,20.8,1477,1.0616
BPA096,BPR083,Chamela-Cuixmala Reserve,Jalisco,Mexico,19.491454,-104.981025,Not precise,2000,2001,8,1041,Plant visitation,Assemblage,Pollen collection,Dry and Wet,NA,Deciduous forest,Jalisco dry forests,Mesoamerica,NA,245,1115,24.8,1796,0.6205
BPA097,BPR084,Guanacaste Conservation Area,Guanacaste,Costa Rica,10.839322,-85.618227,Not precise,2002,2002,2,NA,Plant visitation,Population,Direct observation,Dry,NA,Deciduous forest,Central American dry forests,Mesoamerica,NA,292,1631,25.8,1979,0.8238
BPA098,BPR085,Near the village of Saül,NA,French Guiana,3.896547,-53.385148,Precise,2000,2000,2,NA,Bat diet,Assemblage,Feces collection,Wet,NA,Rainforest,Guianan moist forests,Amazonia,NA,161,2637,25.4,1599,1.6484
BPA099,BPR086,NA,NA,French Guiana,4.634511,-52.856249,Not precise,1999,2001,17,162,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Guianan moist forests,Amazonia,NA,84,3012,25.5,1587,1.8972
BPA100,BPR087,Praia de Intermares,Paraiba,Brazil,-7.047582,-34.8419,Precise,1996,1996,2,NA,Plant visitation,Population,Direct observation,Wet,Semideciduous vegetation,Coastal sandy mosaic,Southern Atlantic mangroves,Atlantic Forest,NA,8,1813,26,1840,0.985
BPA101,BPR088,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1995,1995,8,854,Bat diet,Assemblage,Feces collection,Dry and Wet,tropical humid forest and premontane rain forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA102,BPR089,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1995,1995,8,854,Bat diet,Assemblage,Feces collection,Dry and Wet,tropical humid forest and premontane rain forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA103,BPR090,Pai Inacio Hill,Bahia,Brazil,-12.45863,-41.471717,Precise,2002,2002,1,NA,Plant visitation,Population,Direct observation,Wet,Campo rupestre,Rocky woodland,Caatinga,Caatinga,700,929,897,20.6,1517,0.5912
BPA104,BPR091,The outskirts of Recife,Pernambuco,Brazil,-8.016667,-34.933333,Not precise,1996,1996,2,NA,Plant visitation,Population,Direct observation,Wet,Atlantic Forest remain,Rainforest,Southern Atlantic mangroves,Atlantic Forest,NA,20,1616,25.2,1734,0.9317
BPA105,BPR092,Cueva del Indio,Pinar del Rio,Cuba,22.669547,-83.707295,Precise,NA,NA,NA,NA,Bat diet,Assemblage,Experimental,NA,NA,Limestone Rainforest,Cuban moist forests,Caribbean,NA,154,1524,24,1681,0.9061
BPA106,BPR093,Sierra del Rosario Biosphere Reserve,Artemisa,Cuba,22.85578,-82.964476,Precise,NA,NA,NA,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Cuban moist forests,Caribbean,NA,243,1584,23.4,1624,0.9751
BPA107,BPR094,Sierra del Rosario Biosphere Reserve,Artemisa,Cuba,22.841944,-82.924167,Precise,2001,2002,15,448,Bat diet,Assemblage,Feces collection,Dry and Wet,tropical evergreen forest,Rainforest,Cuban dry forests,Caribbean,NA,202,1584,23.7,1636,0.9677
BPA108,BPR095,Serra do Japí,Sao Paulo,Brazil,-23.230137,-46.955796,Precise,1982,1984,NA,108,Bat diet,Assemblage,Feces collection,Dry and Wet,Subtropical Humid Forest,Cloud forest,Serra do Mar coastal forests,Atlantic Forest,NA,1078,1371,17.1,1215,1.1283
BPA109,BPR096,Estação Experimental de Silvicultura Tropical INPA,Amazonas,Brazil,-2.629916,-60.03549,Precise,1981,1981,1,NA,Plant visitation,Population,Feces collection,Dry,NA,Rainforest,Uatuma-Trombetas moist forests,Amazonia,NA,70,2365,26.5,1335,1.7707
BPA110,BPR097,Piedra Honda Cave,Falcon,Venezuela,11.94427,-70.010837,Precise,NA,NA,NA,NA,Bat diet,Population,Feces collection,NA,Thorn forest,Deciduous forest,Paraguana xeric scrub,Caribbean,150,157,452,27,2143,0.2108
BPA111,BPR098,North of Trinidad,Tunapuna-Piarco,Trinidad and Tobago,10.673486,-61.312156,Not precise,1976,1978,NA,NA,Bat diet,Population,Feces collection,Dry and Wet,NA,Rainforest,Trinidad and Tobago moist forests,Caribbean,NA,440,2088,24.3,1716,1.2165
BPA112,BPR099,Poço das Antas Biological Reserve,Rio de Janeiro,Brazil,-22.502833,-42.267675,Precise,2000,2001,21,18,Bat diet,Population,Feces collection,Dry and Wet,Lowland Atlantic Forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,27,1171,22.9,1405,0.8331
BPA113,BPR100,Parque Estadual da Ilha do Cardoso,Sao Paulo,Brazil,-25.132045,-47.961936,Precise,NA,NA,NA,NA,Plant visitation,Population,Direct observation,NA,coastal sandy forest,Coastal sandy mosaic,Serra do Mar coastal forests,Atlantic Forest,NA,624,2243,18.7,1122,1.9981
BPA114,BPR101,Parque Estadual de Vila Rica,Parana,Brazil,-23.912667,-51.95952,Precise,1996,1997,9,45,Bat diet,Assemblage,Feces collection,Dry and Wet,Semideciduous Seasonal Forest,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,352,1488,20.1,1380,1.0779
BPA115,BPR102,Parque Estadual de Vila Rica,Parana,Brazil,-23.912667,-51.95952,Precise,2000,2002,3,NA,Plant visitation,Population,Experimental,Dry and Wet,Semideciduous Seasonal Forest,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,352,1488,20.1,1380,1.0779
BPA116,BPR103,Centro Ecoloógico de Sonora,Sonora,Mexico,29.01669,-110.953544,Precise,2001,2001,1,,Plant visitation,Assemblage,Direct observation and Pollen Collection,Dry,NA,Semi-desert and desert,Sonoran desert,Nearctic Mexico,245,269,300,23.1,2227,0.1347
BPA117,BPR103,Sierra Kino,Sonora,Mexico,28.816456,-111.926343,Precise,2002,2002,1,,Plant visitation,Assemblage,Direct observation and Pollen Collection,Dry,NA,Semi-desert and desert,Sonoran desert,Nearctic Mexico,50,0,140,20.7,1942,0.072
BPA118,BPR104,Chamela-Cuixmala Reserve,Jalisco,Mexico,19.491454,-104.981025,Not precise,1977,1977,1,NA,Bat diet,Population,Feces collection,Wet,NA,Deciduous forest,Jalisco dry forests,Mesoamerica,NA,245,1115,24.8,1796,0.6205
BPA119,BPR105,Barro Colorado Island,Panama Oeste,Panama,9.15164,-79.8509,Not precise,1973,1973,8,NA,Bat diet,Population,Feces collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,159,2394,26,1673,1.4301
BPA120,BPR106,Barro Colorado Island,Panama Oeste,Panama,9.15164,-79.8509,Not precise,1978,1978,2,NA,Bat diet,Population,Experimental,Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,159,2394,26,1673,1.4301
BPA121,BPR107,Yanayacu Biological Station,Napo,Ecuador,-0.599599,-77.883356,Precise,2003,2005,3,NA,Plant visitation,Population,Pollen collection,Dry and Wet,NA,Rainforest,Eastern Cordillera real montane forests,Northern Andes,NA,2119,2337,16.1,1076,2.1718
BPA122,BPR107,El Pahuma reserve,Pichincha,Ecuador,0.025871,-78.632174,Precise,2003,2005,3,NA,Plant visitation,Population,Pollen collection,Dry and Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1954,1457,16.6,1206,1.2076
BPA123,BPR107,Sierrazul,Napo,Ecuador,-0.735556,-77.897222,Not precise,2003,2005,3,NA,Plant visitation,Population,Pollen collection,Dry and Wet,NA,Rainforest,Eastern Cordillera real montane forests,Northern Andes,NA,1919,2363,16.9,1021,2.3137
BPA124,BPR107,Bellavista reserve,Pichincha,Ecuador,-0.016626,-78.680865,Precise,2003,2005,3,NA,Plant visitation,Population,Pollen collection,Dry and Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,2055,1492,16,1222,1.22
BPA125,BPR108,Yanayacu Biological Station,Napo,Ecuador,-0.599599,-77.883356,Precise,2003,2003,6,,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Rainforest,Eastern Cordillera real montane forests,Northern Andes,NA,2119,2337,16.1,1076,2.1718
BPA126,BPR108,El Pahuma Rreserve,Pichincha,Ecuador,0.025871,-78.632174,Precise,2003,2003,5,,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1954,1457,16.6,1206,1.2076
BPA127,BPR108,Otonga Natural Reserve,Cotopaxi,Ecuador,-0.416699,-79.002553,Precise,2003,2003,1,,Plant visitation,Assemblage,Direct observation,Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1940,2209,16.3,1159,1.9058
BPA128,BPR108,Golondrinas Reserve,Carchi,Ecuador,0.833333,-78.116667,Precise,2003,2003,1,,Plant visitation,Assemblage,Direct observation,Dry,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,2239,974,15.4,1179,0.8258
BPA129,BPR108,Bilsa Biological Station,Manabi,Ecuador,0.346933,-79.710983,Precise,2003,2003,1,,Plant visitation,Assemblage,Direct observation,Dry,NA,Rainforest,Western Ecuador moist forests,Northern Andes,NA,527,1802,22.9,1075,1.6757
BPA130,BPR108,Bellavista Reserve,Pichincha,Ecuador,-0.016626,-78.680865,Precise,2003,2003,7,,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,2055,1492,16,1222,1.22
BPA131,BPR109,Río Guajalito Reserve,Pichincha,Ecuador,-0.204462,-78.797328,Precise,1999,2000,NA,34,Plant visitation,Assemblage,Pollen collection,Dry and Wet,Cloud forest,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1958,2077,16.5,1208,1.719
