SiteCode,RefCode,Locality,State,Country,Latitude,Longitude,Precision,YearStart,YearEnd,Duration,SamplingEffort,StudyType,EcologicalScale,SamplingMethod,SamplingSeason,Vegetation,VegType,Ecoregion,Domain,Altitude,1kmAlt,AnnRain,MeaAnnTemp,PET,GAI
BPA132,BPR109,Otonga Natural Reserve,Cotopaxi,Ecuador,-0.416699,-79.002553,Precise,1999,2000,NA,34,Plant visitation,Assemblage,Pollen collection,Dry and Wet,Cloud forest,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1940,2209,16.3,1159,1.9058
BPA133,BPR110,Londrina Urban Rrea,Parana,Brazil,-23.366039,-51.183777,Precise,1989,1992,22,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,700,507,1546,20.8,1492,1.0357
BPA134,BPR111,Laguna de Caparú,Merida,Venezuela,8.487778,-71.336111,Precise,NA,NA,NA,NA,Bat diet,Population,Feces collection,Dry,Thorny and shruby vegetation,Deciduous forest,Venezuelan Andes montane forests,Northern Andes,820,772,1242,23.9,1662,0.7472
BPA135,BPR112,El Mamo - Catia la Mar,Vargas,Venezuela,10.587601,-67.061971,Precise,1990,1991,8,NA,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Deciduous forest,La Costa xeric shrublands,Caribbean,NA,61,687,26.7,1919,0.3579
BPA136,BPR112,Península de Paraguaná,Falcon,Venezuela,11.946592,-70.099865,Not precise,1990,1990,4,NA,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Deciduous forest,Paraguana xeric scrub,Caribbean,NA,59,438,27.9,2232,0.1961
BPA137,BPR113,Saint Croix,Virgin Islands,United States,17.723461,-64.834441,Not precise,NA,NA,NA,NA,Bat diet,Population,Direct observation,NA,NA,Limestone Rainforest,Caribbean shrublands,Caribbean,NA,106,1160,25.9,1982,0.5851
BPA138,BPR114,Botanical Garden of Rio de Janeiro,Rio de Janeiro,Brazil,-22.968642,-43.2265,Precise,1999,2001,NA,NA,Bat diet,Assemblage,Direct observation and Feces collection,Dry and Wet,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,65,1118,23.1,1412,0.7917
BPA139,BPR115,Montes Azules Reserve,Chiapas,Mexico,16.159893,-90.901448,Precise,2004,2004,6,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Petén-Veracruz moist forests,Mesoamerica,NA,166,2990,25.9,1803,1.6574
BPA140,BPR116,Sierra de Aroa,Yaracuy,Venezuela,10.44991,-68.864729,Precise,2006,2006,3,NA,Bat diet,Assemblage,Feces collection,Dry,NA,Rainforest,Cordillera La Costa montane forests,Caribbean,NA,469,1069,24.1,1724,0.6197
BPA141,BPR117,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1985,1985,2,211,Bat diet,Assemblage,Feces collection,Dry,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA142,BPR118,Superagüi National Park,Parana,Brazil,-25.347181,-48.203093,Precise,2001,2001,4,25,Bat diet,Population,Feces collection,Dry and Wet,NA,Rainforest,Southern Atlantic mangroves,Atlantic Forest,NA,8,2240,21.7,1223,1.8305
BPA143,BPR118,Volta Velha reserve,Santa Catarina,Brazil,-26.095263,-48.64761,Precise,2001,2002,4,32,Bat diet,Population,Feces collection,Dry and Wet,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,14,1843,20.7,1167,1.5788
BPA144,BPR119,Parque do Museu Mello Leitão,Espirito Santo,Brazil,-19.935931,-40.599742,Precise,2000,2000,5,NA,Bat diet,Population,Feces collection and Roosting inspection,Dry and Wet,NA,Rainforest,Bahia coastal forests,Atlantic Forest,NA,677,1319,19.8,1239,1.0643
BPA145,BPR120,Intervales State Park,Sao Paulo,Brazil,-24.308566,-48.273264,Precise,1999,2000,13,121,Bat diet,Assemblage,Feces collection,Dry,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,577,1430,19.1,1145,1.2479
BPA146,BPR121,Panga Ecological Reserve,Minas Gerais,Brazil,-19.1797,-48.4562,Precise,1990,1991,12,211,Bat diet,Assemblage,Feces collection,Dry and Wet,Scrub woodland and mesofitic forest,Seasonal riverine forest,Cerrado,Cerrado,800,763,1542,21.9,1559,0.9889
BPA147,BPR122,NA,NA,Curaçao,12.214107,-69.043905,Not precise,1992,1993,17,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Semi-arid thorny woodland,Caribbean shrublands,Caribbean,NA,26,542,27.7,2131,0.2543
BPA148,BPR123,Chamela-Cuixmala reserve,Jalisco,Mexico,19.491454,-104.981025,Not precise,1999,2003,NA,NA,Plant visitation,Assemblage,Direct observation,Dry and Wet,tropical dry forest,Deciduous forest,Jalisco dry forests,Mesoamerica,NA,245,1115,24.8,1796,0.6205
BPA149,BPR124,Francisco Tamayo Biological Station,Guarico,Venezuela,8.857521,-67.385249,Precise,1979,1979,1,NA,Plant visitation,Population,Direct observation and Pollen Collection,Dry,NA,Savanna woodland,Llanos,Los Llanos,NA,91,1260,27.8,1899,0.6634
BPA150,BPR125,Manaus,Amazonas,Brazil,-2.958905,-59.977743,Precise,NA,NA,NA,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Uatuma-Trombetas moist forests,Amazonia,NA,71,2306,26.6,1325,1.7395
BPA151,BPR126,Las Delicias,Huila,Colombia,3.278695,-74.973096,Precise,1993,1994,12,NA,Bat diet,Population,Feces collection,Dry and Wet,Premontane dry forest,Deciduous forest,Magdalena Valley dry forests,Northern Andes,580,534,1526,26.3,1596,0.9558
BPA152,BPR127,Las Delicias,Huila,Colombia,3.278695,-74.973096,Precise,1993,1994,12,NA,Plant visitation,Assemblage,Direct observation and Feces collection,Dry and Wet,Premontane dry forest,Deciduous forest,Magdalena Valley dry forests,Northern Andes,580,534,1526,26.3,1596,0.9558
BPA153,BPR128,25 km South of Arequipa City,Arequipa,Peru,-16.572441,-71.442173,Not precise,1991,1993,6,NA,Plant visitation,Population,Experimental,Dry and Wet,NA,Semi-arid thorny woodland,Sechura desert,Southern Andes,2500,2634,66,13.9,1926,0.0342
BPA154,BPR129,Santa Lucia Biological Station,Espirito Santo,Brazil,-19.965319,-40.540618,Precise,2000,2000,1,NA,Plant visitation,Assemblage,Direct observation,Dry,NA,Rainforest,Bahia coastal forests,Atlantic Forest,700,728,1325,19.6,1233,1.0739
BPA155,BPR129,Parque do Museu Mello Leitão,Espirito Santo,Brazil,-19.935918,-40.599694,Precise,2001,2001,1,NA,Plant visitation,Assemblage,Direct observation,Dry,NA,Rainforest,Bahia coastal forests,Atlantic Forest,700,677,1319,19.8,1239,1.0643
BPA156,BPR130,Ubatuba,Sao Paulo,Brazil,-23.43303,-45.08768,Not precise,1975,1975,2,NA,Bat diet,Assemblage,Direct observation,Dry,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,41,2539,22.2,1302,1.9486
BPA157,BPR130,Serra do Cipó,Minas Gerais,Brazil,-19.349611,-43.618288,Not precise,1974,1974,2,NA,Bat diet,Assemblage,Direct observation,Dry,NA,Montane woodland,Cerrado,Cerrado,NA,802,1378,20.5,1391,0.99
BPA158,BPR131,Serra do Cipó,Minas Gerais,Brazil,-19.349611,-43.618288,Not precise,1974,1974,2,NA,Plant visitation,Population,Direct observation,Dry,NA,Montane woodland,Cerrado,Cerrado,NA,802,1378,20.5,1391,0.99
BPA159,BPR132,Campinas,Sao Paulo,Brazil,-22.91666,-47.06688,Not precise,1975,1976,5,29,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,680,1339,20.3,1382,0.9683
BPA160,BPR133,Ubatuba,Sao Paulo,Brazil,-23.43303,-45.08768,Not precise,1975,1975,2,NA,Plant visitation,Population,Direct observation,Dry,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,41,2539,22.2,1302,1.9486
BPA161,BPR134,Ubatuba,Sao Paulo,Brazil,-23.43303,-45.08768,Not precise,1978,1978,4,NA,Plant visitation,Population,Direct observation,Dry,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,41,2539,22.2,1302,1.9486
BPA162,BPR135,Ubatuba,Sao Paulo,Brazil,-23.43303,-45.08768,Not precise,1975,1975,1,NA,Plant visitation,Population,Direct observation,Wet,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,41,2539,22.2,1302,1.9486
BPA163,BPR136,Barão de Geraldo - Campinas,Sao Paulo,Brazil,-22.817227,-47.080054,Precise,1979,1979,2,NA,Plant visitation,Population,Direct observation,Dry and Wet,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,603,1287,20.6,1365,0.9425
BPA164,BPR137,km 123 of the road from Belo Horizonte to Conceição,Minas Gerais,Brazil,-19.093374,-43.470373,Not precise,1987,1987,1,NA,Plant visitation,Population,Direct observation,Wet,Cerrado,Rocky woodland ,Cerrado,Cerrado,1250,859,1487,19.9,1284,1.1578
BPA165,BPR138,Parque Estadual de Campos do Jordão,Sao Paulo,Brazil,-22.690245,-45.489916,Precise,1992,1993,NA,NA,Plant visitation,Population,Direct observation,Dry,NA,Mixed forest,Serra do Mar coastal forests,Atlantic Forest,1500,1566,1768,14.1,1132,1.5612
BPA166,BPR139,Campinas Urban Area,Sao Paulo,Brazil,-22.91666,-47.06688,Not precise,1991,1992,12,NA,Bat diet,Population,Direct observation,Dry and Wet,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,680,1339,20.3,1382,0.9683
BPA167,BPR139,Mata de Santa Genebra Reserve,Sao Paulo,Brazil,-22.820923,-47.110617,Precise,1991,1992,12,NA,Bat diet,Population,Direct observation,Dry and Wet,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,615,1271,20.5,1384,0.9183
BPA168,BPR140,Parque Estadual de Campos do Jordão,Sao Paulo,Brazil,-22.690245,-45.489916,Precise,1993,1996,34,NA,Plant visitation,Assemblage,Direct observation,Dry and Wet,mixed semi-deciduous broadleaf forest,Mixed forest,Serra do Mar coastal forests,Atlantic Forest,NA,1566,1768,14.1,1132,1.5612
BPA169,BPR140,Caraguatatuba,Sao Paulo,Brazil,-23.596608,-45.417237,Precise,1993,1996,34,NA,Plant visitation,Assemblage,Direct observation,Dry and Wet,subhumid evergreen broadleaf forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,193,2247,21.2,1236,1.8173
BPA170,BPR141,Picinguaba,Sao Paulo,Brazil,-23.378622,-44.836569,Precise,1998,1998,2,NA,Plant visitation,Population,Direct observation,Wet,subhumid evergreen broadleaf forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,74,2522,22.1,1306,1.931
BPA171,BPR141,Praia Dura,Sao Paulo,Brazil,-23.493069,-45.164159,Precise,1998,1998,2,NA,Plant visitation,Population,Direct observation,Wet,subhumid evergreen broadleaf forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,55,2470,22,1288,1.9166
BPA172,BPR142,Universidade Federal Rural do Rio de Janeiro,Rio de Janeiro,Brazil,-22.767221,-43.691738,Precise,1989,1989,3,NA,Plant visitation,Population,Pollen collection,Dry,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,20,1383,23.4,1417,0.9754
BPA173,BPR143,Coronado National Memorial,Arizona,United States,31.346012,-110.253043,Precise,1995,1995,1,NA,Plant visitation,Assemblage,Direct observation,Dry,NA,Savanna woodland,Sierra Madre Occidental pine-oak forests,Nearctic Mexico,1508,1635,524,16.2,2354,0.2225
BPA174,BPR144,Laguna de Caparú,Merida,Venezuela,8.487778,-71.336111,Precise,1988,1989,24,163,Bat diet,Population,Feces collection,Dry and Wet,thorny shrubs,Deciduous forest,Venezuelan Andes montane forests,Northern Andes,820,772,1242,23.9,1662,0.7472
BPA175,BPR145,La Quinta,Tachira,Venezuela,8.151064,-72.019537,Not precise,1994,2000,NA,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Venezuelan Andes montane forests,Northern Andes,1250,1134,1266,21,1507,0.8397
BPA176,BPR146,Laguna de Caparú,Merida,Venezuela,8.487778,-71.336111,Precise,1990,1990,12,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,thorny shrubs,Deciduous forest,Venezuelan Andes montane forests,Northern Andes,820,772,1242,23.9,1662,0.7472
BPA177,BPR147,Laguna de Caparú,Merida,Venezuela,8.487778,-71.336111,Precise,1990,1990,12,NA,Bat diet,Population,Feces collection,Dry and Wet,thorny shrubs,Deciduous forest,Venezuelan Andes montane forests,Northern Andes,820,772,1242,23.9,1662,0.7472
BPA178,BPR148,Barro Colorado Island,Panama Oeste,Panama,9.15164,-79.8509,Not precise,1979,1980,NA,NA,Plant visitation,Population,Direct observation,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,159,2394,26,1673,1.4301
BPA179,BPR149,Chamela-Cuixmala Reserve,Jalisco,Mexico,19.491454,-104.981025,Not precise,2001,2001,3,248,Plant visitation,Population,Direct observation,Dry,NA,Deciduous forest,Jalisco dry forests,Mesoamerica,NA,245,1115,24.8,1796,0.6205
BPA180,BPR150,Parque Estadual do Rio Doce,Minas Gerais,Brazil,-19.779068,-42.59993,Precise,1997,1997,11,66,Bat diet,Assemblage,Feces collection,Dry and Wet,Tropical Low Semi-Deciduous Atlantic forest.,Semideciduous forest,Bahia interior forests,Atlantic Forest,NA,269,1213,22.9,1340,0.9048
BPA181,BPR151,Barro Colorado Island,Panama Oeste,Panama,9.15164,-79.8509,Not precise,1994,1997,28,229,Plant visitation,Assemblage,Feces collection,Dry and Wet,tropical moist semi-deciduous forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,159,2394,26,1673,1.4301
BPA182,BPR152,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1994,1997,26,580,Plant visitation,Assemblage,Pollen collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA183,BPR153,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1994,1997,26,NA,Bat diet,Population,Feces collection and Pollen collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA184,BPR154,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1994,1998,NA,NA,Plant visitation,Population,Pollen collection,Dry and Wet,Lowland rain forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA185,BPR155,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1991,1995,NA,NA,Plant visitation,Population,Direct observation and Pollen Collection,Dry and Wet,Lowland rain forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA186,BPR156,Rara Avis Reserve,Heredia,Costa Rica,10.341302,-83.95608,Precise,1995,1995,NA,NA,Plant visitation,Population,Direct observation and Pollen Collection,Dry,Lowland rain forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,78,3912,25.9,1687,2.3188
BPA187,BPR157,San Carlos de Rio Negro,Amazonas,Venezuela,1.921403,-67.053072,Precise,1977,1978,NA,NA,Plant visitation,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Negro-Branco moist forests,Amazonia,120,93,3388,26.3,1350,2.5087
BPA188,BPR158,Estação Experimental de Silvicultura Tropical INPA,Amazonas,Brazil,-2.629916,-60.03549,Precise,1978,1978,4,NA,Plant visitation,Population,Feces collection,Dry,NA,Rainforest,Uatuma-Trombetas moist forests,Amazonia,NA,70,2365,26.5,1335,1.7707
BPA189,BPR159,Zapotitlán Valley,Puebla,Mexico,18.333333,-97.466667,Not precise,NA,NA,NA,NA,Plant visitation,Population,Pollen collection,NA,NA,Semi-arid thorny woodland,Tehuacán Valley matorral,Mesoamerica,NA,1480,437,21.7,1846,0.2366
BPA190,BPR160,Zapotitlán Valley,Puebla,Mexico,18.348281,-97.465467,Precise,1995,1996,6,17,Plant visitation,Population,Pollen collection,Dry,Tropical scrub,Semi-arid thorny woodland,Tehuacán Valley matorral,Mesoamerica,1700,1702,520,20.2,1781,0.2918
BPA191,BPR160,Near Coxcatlán,Puebla,Mexico,18.287126,-97.197603,Precise,1995,1995,4,24,Plant visitation,Population,Pollen collection,Dry,Dry woodland,Semi-arid thorny woodland,Tehuacán Valley matorral,Mesoamerica,NA,1028,416,24,1876,0.2217
BPA192,BPR161,Isla Pajarera,Jalisco,Mexico,19.55872,-105.11333,Precise,1992,2002,3,111,Plant visitation,Population,Pollen collection,Dry,tropical deciduous forest,Deciduous forest,Jalisco dry forests,Mesoamerica,NA,8,871,25.5,1806,0.4822
BPA193,BPR162,Parque Estadual da Serra do Mar - Núcleo Picinguaba,Sao Paulo,Brazil,-23.358239,-44.849944,Precise,1997,1998,10,NA,Plant visitation,Population,Direct observation,Dry and Wet,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,10,2546,22.5,1319,1.9296
BPA194,BPR163,Catimbau National Park,Pernambuco,Brazil,-8.5106,-37.3494,Precise,1999,2000,NA,NA,Plant visitation,Population,Direct observation,Dry and Wet,NA,Semi-arid thorny woodland,Caatinga,Caatinga,NA,733,625,21.7,1597,0.3912
BPA195,BPR164,Catimbau National Park,Pernambuco,Brazil,-8.5106,-37.3494,Precise,2002,2003,NA,NA,Plant visitation,Population,Direct observation,Dry and Wet,NA,Semi-arid thorny woodland,Caatinga,Caatinga,NA,733,625,21.7,1597,0.3912
BPA196,BPR165,La Selva Biological Station,Heredia,Costa Rica,10.4232682,-84.0220298,Precise,1977,1977,1,NA,Plant visitation,Population,Direct observation and Pollen Collection,Wet,Tropical Wet and Premontane Wet Forests,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,100,3779,25.8,1685,2.2416
BPA197,BPR166,Barro Colorado Island,Panama Oeste,Panama,9.1592,-79.8442,Precise,1992,1993,6,NA,Plant visitation,Assemblage,Feces collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,123,2213,26.1,1682,1.3156
BPA198,BPR167,Floresta Nacional do Araripe,Ceara,Brazil,-7.338612,-39.434532,Not precise,1976,1978,20,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Semi-arid thorny woodland ,Caatinga,Caatinga,NA,938,1042,21.3,1665,0.6258
BPA199,BPR168,Orchid Island ,Panama Oeste,Panama,9.178757,-79.848614,Precise,1969,1969,7,NA,Bat diet,Population,Roosting inspection ,Dry and Wet,NA,Semideciduous forest,Isthmian-Atlantic moist forests,Mesoamerica,NA,41,2461,26.5,1695,1.4514
BPA200,BPR169,Parque do Museu Mello Leitão,Espirito Santo,Brazil,-19.935931,-40.599742,Precise,1988,1989,13,189,Bat diet,Population,Roosting inspection ,Dry and Wet,NA,Rainforest,Bahia coastal forests,Atlantic Forest,NA,677,1319,19.8,1239,1.0643
